"Antecedent (X)","Consequent (Y)","Support","Confidence","Lift","Leverage","Conviction"
"files_changed=1 file","reviewer_pull=MartijnKaijser","0.13","0.25","1.03","0.0","1.01"
"files_changed=1 file","reviewer_pull=jmarshallnz","0.09","0.17","0.84","-0.02","0.96"
"files_changed=1 file","reviewer_pull=jenkins4kodi","0.03","0.07","0.93","-0.0","0.99"
"files_changed=1 file","reviewer_pull=mkortstiege","0.03","0.05","1.27","0.01","1.01"
"files_changed=1 file","reviewer_pull=t-nelson","0.02","0.04","1.19","0.0","1.01"
"files_changed=1 file","reviewer_pull=Montellese","0.02","0.04","1.12","0.0","1.0"
"files_changed=1 file","reviewer_pull=Memphiz","0.02","0.04","1.17","0.0","1.01"
"files_changed=1 file","reviewer_pull=topfs2","0.02","0.04","1.21","0.0","1.01"
"files_changed=1 file","reviewer_pull=davilla","0.02","0.04","1.03","0.0","1.0"
"files_changed=1 file","reviewer_pull=opdenkamp","0.02","0.04","0.96","-0.0","1.0"
"files_changed=1 file","reviewer_pull=elupus","0.02","0.03","1.05","0.0","1.0"
"files_changed=1 file","reviewer_pull=huceke","0.01","0.03","0.91","-0.0","1.0"
"files_changed=1 file","reviewer_pull=alanwww1","0.01","0.02","1.67","0.0","1.01"
"files_changed=1 file","reviewer_pull=ronie","0.01","0.02","1.03","0.0","1.0"
"files_changed=1 file","reviewer_pull=fritsch","0.01","0.02","0.95","-0.0","1.0"
"files_changed=1 file","reviewer_pull=FernetMenta","0.01","0.01","0.83","-0.0","1.0"
"files_changed=1 file","reviewer_pull=wsnipex","0.0","0.01","1.12","0.0","1.0"
"files_changed=1 file","reviewer_pull=wsoltys","0.0","0.01","0.71","-0.0","1.0"
"files_changed=1 file","reviewer_pull=Jalle19","0.0","0.01","1.46","0.0","1.0"
"files_changed=1 file","reviewer_pull=ksooo","0.0","0.01","1.27","0.0","1.0"
"files_changed=1 file","reviewer_pull=xhaggi","0.0","0.01","0.63","-0.0","1.0"
"files_changed=1 file","reviewer_pull=koying","0.0","0.0","1.0","0.0","1.0"
"files_changed=1 file","reviewer_pull=theuni","0.0","0.0","1.0","0.0","1.0"
"files_changed=1 file","reviewer_pull=Voyager1","0.0","0.0","1.0","0.0","1.0"
"files_changed=1 file","reviewer_pull=ace20022","0.0","0.0","0.88","-0.0","1.0"
"files_changed=1 file","reviewer_pull=jimfcarroll","0.0","0.0","1.0","0.0","1.0"
"files_changed=1 file","reviewer_pull=DDDamian","0.0","0.0","1.21","0.0","1.0"
"files_changed=1 file","reviewer_pull=JezzX","0.0","0.0","1.26","0.0","1.0"
"files_changed=1 file","reviewer_pull=amet","0.0","0.0","0.91","-0.0","1.0"
"files_changed=1 file","reviewer_pull=ulion","0.0","0.0","1.61","0.0","1.0"
"files_changed=1 file","reviewer_pull=Paxxi","0.0","0.0","0.67","-0.0","1.0"
"files_changed=many files","reviewer_pull=MartijnKaijser","0.05","0.26","1.06","0.0","1.02"
"files_changed=many files","reviewer_pull=jmarshallnz","0.05","0.22","1.08","0.0","1.02"
"files_changed=many files","reviewer_pull=jenkins4kodi","0.02","0.08","1.05","0.0","1.0"
"files_changed=many files","reviewer_pull=davilla","0.01","0.05","1.34","0.0","1.01"
"files_changed=many files","reviewer_pull=opdenkamp","0.01","0.04","1.04","0.0","1.0"
"files_changed=many files","reviewer_pull=Montellese","0.01","0.04","1.0","0.0","1.0"
"files_changed=many files","reviewer_pull=huceke","0.01","0.03","1.1","0.0","1.0"
"files_changed=many files","reviewer_pull=Memphiz","0.01","0.03","0.82","-0.0","0.99"
"files_changed=many files","reviewer_pull=mkortstiege","0.01","0.03","0.61","-0.0","0.98"
"files_changed=many files","reviewer_pull=elupus","0.0","0.02","0.78","-0.0","0.99"
"files_changed=many files","reviewer_pull=ronie","0.0","0.02","1.2","0.0","1.0"
"files_changed=many files","reviewer_pull=t-nelson","0.0","0.02","0.59","-0.0","0.98"
"files_changed=many files","reviewer_pull=FernetMenta","0.0","0.02","1.12","0.0","1.0"
"files_changed=many files","reviewer_pull=xhaggi","0.0","0.02","2.06","0.0","1.01"
"files_changed=many files","reviewer_pull=topfs2","0.0","0.02","0.53","-0.0","0.98"
"files_changed=many files","reviewer_pull=wsoltys","0.0","0.02","1.28","0.0","1.0"
"files_changed=many files","reviewer_pull=fritsch","0.0","0.01","0.87","-0.0","1.0"
"files_changed=many files","reviewer_pull=wsnipex","0.0","0.01","0.85","-0.0","1.0"
"files_changed=many files","reviewer_pull=theuni","0.0","0.01","1.72","0.0","1.0"
"files_changed=many files","reviewer_pull=Paxxi","0.0","0.01","1.85","0.0","1.0"
"files_changed=many files","reviewer_pull=Voyager1","0.0","0.01","1.38","0.0","1.0"
"files_changed=many files","reviewer_pull=koying","0.0","0.01","1.13","0.0","1.0"
"files_changed=many files","reviewer_pull=ace20022","0.0","0.01","1.13","0.0","1.0"
